"","Day","Date","flow","Discharge","Discharge_log"
"202",202,"07-21",7500,212.25,2.3268
"203",203,"07-22",7500,212.25,2.3268
"204",204,"07-23",7500,212.25,2.3268
"205",205,"07-24",7500,212.25,2.3268
"206",206,"07-25",7500,212.25,2.3268
"207",207,"07-26",7500,212.25,2.3268
"208",208,"07-27",7500,212.25,2.3268
"209",209,"07-28",7500,212.25,2.3268
"210",210,"07-29",7500,212.25,2.3268
"211",211,"07-30",5000,141.5,2.1508
"212",212,"07-31",5000,141.5,2.1508
"213",213,"08-01",5000,141.5,2.1508
"214",214,"08-02",5000,141.5,2.1508
"215",215,"08-03",5000,141.5,2.1508
"216",216,"08-04",5000,141.5,2.1508
"217",217,"08-05",5000,141.5,2.1508
"218",218,"08-06",5000,141.5,2.1508
"219",219,"08-07",5000,141.5,2.1508
"220",220,"08-08",5000,141.5,2.1508
"221",221,"08-09",5000,141.5,2.1508
"222",222,"08-10",5000,141.5,2.1508
"223",223,"08-11",5000,141.5,2.1508
"224",224,"08-12",5000,141.5,2.1508
"225",225,"08-13",5000,141.5,2.1508
"226",226,"08-14",5000,141.5,2.1508
"227",227,"08-15",5000,141.5,2.1508
"228",228,"08-16",5000,141.5,2.1508
"229",229,"08-17",5000,141.5,2.1508
"230",230,"08-18",5000,141.5,2.1508
"231",231,"08-19",5000,141.5,2.1508
"232",232,"08-20",5000,141.5,2.1508
"233",233,"08-21",5000,141.5,2.1508
"234",234,"08-22",5000,141.5,2.1508
"235",235,"08-23",5000,141.5,2.1508
"236",236,"08-24",5000,141.5,2.1508
"237",237,"08-25",5000,141.5,2.1508
"238",238,"08-26",5000,141.5,2.1508
"239",239,"08-27",5000,141.5,2.1508
"240",240,"08-28",5000,141.5,2.1508
"241",241,"08-29",5000,141.5,2.1508
"242",242,"08-30",5000,141.5,2.1508
"243",243,"08-31",5000,141.5,2.1508
"244",244,"09-01",5000,141.5,2.1508
"245",245,"09-02",5000,141.5,2.1508
"246",246,"09-03",5000,141.5,2.1508
"247",247,"09-04",5000,141.5,2.1508
"248",248,"09-05",5000,141.5,2.1508
"249",249,"09-06",5000,141.5,2.1508
"250",250,"09-07",5000,141.5,2.1508
"251",251,"09-08",5000,141.5,2.1508
"252",252,"09-09",5000,141.5,2.1508
"253",253,"09-10",5000,141.5,2.1508
"254",254,"09-11",5000,141.5,2.1508
"255",255,"09-12",5000,141.5,2.1508
"256",256,"09-13",5000,141.5,2.1508
"257",257,"09-14",5000,141.5,2.1508
"258",258,"09-15",5000,141.5,2.1508
"259",259,"09-16",5000,141.5,2.1508
"260",260,"09-17",5000,141.5,2.1508
"261",261,"09-18",5000,141.5,2.1508
"262",262,"09-19",5000,141.5,2.1508
"263",263,"09-20",5000,141.5,2.1508
"264",264,"09-21",5000,141.5,2.1508
"265",265,"09-22",5000,141.5,2.1508
"266",266,"09-23",5000,141.5,2.1508
"267",267,"09-24",5000,141.5,2.1508
"268",268,"09-25",5000,141.5,2.1508
"269",269,"09-26",5000,141.5,2.1508
"270",270,"09-27",5000,141.5,2.1508
"271",271,"09-28",5000,141.5,2.1508
"272",272,"09-29",5000,141.5,2.1508
"273",273,"09-30",5000,141.5,2.1508
"274",274,"10-01",5000,141.5,2.1508
"275",275,"10-02",5000,141.5,2.1508
"276",276,"10-03",5000,141.5,2.1508
"277",277,"10-04",5000,141.5,2.1508
"278",278,"10-05",5000,141.5,2.1508
"279",279,"10-06",5000,141.5,2.1508
"280",280,"10-07",5000,141.5,2.1508
"281",281,"10-08",5000,141.5,2.1508
"282",282,"10-09",5000,141.5,2.1508
"283",283,"10-10",5000,141.5,2.1508
"284",284,"10-11",5000,141.5,2.1508
"285",285,"10-12",5000,141.5,2.1508
