YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
yr  mo dy hr   mn     m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2008 11 05 08 00     1.0 99.00 999.00 99.00 999.0  9.50   4.50     2 99.00 99.00
2008 11 05 09 00     1.0 99.00 999.00 99.00 999.0  9.40   4.10     2 99.00 99.00
2008 11 05 15 00     1.0 99.00 999.00 99.00 999.0  9.10   3.10     3 99.00 99.00
2008 11 05 16 00     1.0 99.00 999.00 99.00 999.0  9.20   3.40     3 99.00 99.00
2008 11 05 17 00     1.0 99.00 999.00 99.00 999.0  9.30   3.40    14 99.00 99.00
2008 11 05 18 00     1.0 99.00 999.00 99.00 999.0  9.30   3.60     5 99.00 99.00
2008 11 05 19 00     1.0 99.00 999.00 99.00 999.0  9.30   3.80     4 99.00 99.00
2008 11 05 20 00     1.0 99.00 999.00 99.00 999.0  9.30   3.30     4 99.00 99.00
2008 11 05 21 00     1.0 99.00 999.00 99.00 999.0  9.30   3.40     3 99.00 99.00
2008 11 05 22 00     1.0 99.00 999.00 99.00 999.0  9.30   3.60     2 99.00 99.00
2008 11 05 23 00     1.0 99.00 999.00 99.00 999.0  9.40   4.40     3 99.00 99.00
2008 11 06 00 00     1.0 99.00 999.00 99.00 999.0  9.70   4.30     2 99.00 99.00
2008 11 06 01 00     1.0 99.00 999.00 99.00 999.0  9.90   3.90     2 99.00 99.00
2008 11 06 02 00     1.0 99.00 999.00 99.00 999.0 10.00   3.60     3 99.00 99.00
2008 11 06 03 00     1.0 99.00 999.00 99.00 999.0  9.80   3.40     4 99.00 99.00
2008 11 06 04 00     1.0 99.00 999.00 99.00 999.0  9.60   3.20     4 99.00 99.00
2008 11 06 05 00     1.0 99.00 999.00 99.00 999.0  9.60   3.20     3 99.00 99.00
2008 11 06 06 00     1.0 99.00 999.00 99.00 999.0  9.60   3.10     3 99.00 99.00
2008 11 06 07 00     1.0 99.00 999.00 99.00 999.0  9.50   3.10     3 99.00 99.00
2008 11 06 08 00     1.0 99.00 999.00 99.00 999.0  9.50   3.10     3 99.00 99.00
2008 11 06 23 00     1.0 99.00 999.00 99.00 999.0 10.10   3.00     2 99.00 99.00
2008 11 07 00 00     1.0 99.00 999.00 99.00 999.0 10.00   3.50     4 99.00 99.00
2008 11 07 01 00     1.0 99.00 999.00 99.00 999.0 10.00   3.70     3 99.00 99.00
2008 11 07 02 00     1.0 99.00 999.00 99.00 999.0  9.90   3.20     2 99.00 99.00
2008 11 07 03 00     1.0 99.00 999.00 99.00 999.0  9.90   3.10     2 99.00 99.00
2008 11 07 04 00     1.0 99.00 999.00 99.00 999.0  9.90   3.30     2 99.00 99.00
2008 11 07 05 00     1.0 99.00 999.00 99.00 999.0  9.90   3.30     2 99.00 99.00
2008 11 07 06 00     1.0 99.00 999.00 99.00 999.0  9.70   1.80     2 99.00 99.00
2008 11 07 07 00     1.0 99.00 999.00 99.00 999.0  9.60   1.90     2 99.00 99.00
2008 11 07 08 00     1.0 99.00 999.00 99.00 999.0  9.60   1.80     2 99.00 99.00
2008 11 07 09 00     1.0 99.00 999.00 99.00 999.0  9.70   2.00     2 99.00 99.00
2008 11 07 10 00     1.0 99.00 999.00 99.00 999.0  9.60   2.40     2 99.00 99.00
2008 11 07 11 00     1.0 99.00 999.00 99.00 999.0  9.50   2.20     1 99.00 99.00
2008 11 07 12 00     1.0 99.00 999.00 99.00 999.0  9.60   2.50     2 99.00 99.00
2008 11 07 13 00     1.0 99.00 999.00 99.00 999.0  9.70   2.70     2 99.00 99.00
2008 11 07 14 00     1.0 99.00 999.00 99.00 999.0  9.80   3.30     2 99.00 99.00
2008 11 07 15 00     1.0 99.00 999.00 99.00 999.0  9.80   3.20     2 99.00 99.00
2008 11 07 16 00     1.0 99.00 999.00 99.00 999.0  9.90   3.20     2 99.00 99.00
2008 11 07 17 00     1.0 99.00 999.00 99.00 999.0  9.90   3.60     2 99.00 99.00
2008 11 07 18 00     1.0 99.00 999.00 99.00 999.0 10.00   3.00     2 99.00 99.00
2008 11 07 19 00     1.0 99.00 999.00 99.00 999.0  9.80   2.10     2 99.00 99.00
2008 11 07 20 00     1.0 99.00 999.00 99.00 999.0  9.80   3.00     2 99.00 99.00
2008 11 07 21 00     1.0 99.00 999.00 99.00 999.0  9.80   2.80     2 99.00 99.00
2008 11 07 22 00     1.0 99.00 999.00 99.00 999.0  9.90   3.30     2 99.00 99.00
2008 11 07 23 00     1.0 99.00 999.00 99.00 999.0  9.90   3.40     2 99.00 99.00
2008 11 08 00 00     1.0 99.00 999.00 99.00 999.0 10.00   3.90     2 99.00 99.00
2008 11 08 01 00     1.0 99.00 999.00 99.00 999.0 10.10   3.70     2 99.00 99.00
2008 11 08 02 00     1.0 99.00 999.00 99.00 999.0 10.10   3.50     2 99.00 99.00
2008 11 08 03 00     1.0 99.00 999.00 99.00 999.0  9.90   3.70     2 99.00 99.00
2008 11 08 04 00     1.0 99.00 999.00 99.00 999.0  9.70   4.00     2 99.00 99.00
2008 11 08 05 00     1.0 99.00 999.00 99.00 999.0  9.70   3.90     2 99.00 99.00
2008 11 08 06 00     1.0 99.00 999.00 99.00 999.0  9.80   3.30     2 99.00 99.00
2008 11 08 07 00     1.0 99.00 999.00 99.00 999.0  9.50   2.70     3 99.00 99.00
2008 11 08 08 00     1.0 99.00 999.00 99.00 999.0  9.50   2.80     2 99.00 99.00
2008 11 08 10 00     1.0 99.00 999.00 99.00 999.0  9.50   2.50     2 99.00 99.00
2008 11 08 11 00     1.0 99.00 999.00 99.00 999.0  9.60   2.80     2 99.00 99.00
2008 11 08 12 00     1.0 99.00 999.00 99.00 999.0  9.50   2.60     2 99.00 99.00
2008 11 08 13 00     1.0 99.00 999.00 99.00 999.0  9.60   2.80     2 99.00 99.00
2008 11 08 14 00     1.0 99.00 999.00 99.00 999.0  9.50   3.30     2 99.00 99.00
2008 11 08 15 00     1.0 99.00 999.00 99.00 999.0  9.60   4.20     2 99.00 99.00
2008 11 08 16 00     1.0 99.00 999.00 99.00 999.0  9.60   3.80     2 99.00 99.00
2008 11 08 17 00     1.0 99.00 999.00 99.00 999.0  9.60   3.80     2 99.00 99.00
2008 11 08 18 00     1.0 99.00 999.00 99.00 999.0  9.60   4.20     2 99.00 99.00
2008 11 08 19 00     1.0 99.00 999.00 99.00 999.0  9.80   4.30     2 99.00 99.00
2008 11 08 20 00     1.0 99.00 999.00 99.00 999.0  9.60   3.90     3 99.00 99.00
2008 11 08 21 00     1.0 99.00 999.00 99.00 999.0  9.50   3.10     3 99.00 99.00
2008 11 08 23 00     1.0 99.00 999.00 99.00 999.0  9.50   3.50     2 99.00 99.00
2008 11 09 00 00     1.0 99.00 999.00 99.00 999.0  9.80   4.10     2 99.00 99.00
2008 11 09 01 00     1.0 99.00 999.00 99.00 999.0  9.60   3.40     2 99.00 99.00
2008 11 09 02 00     1.0 99.00 999.00 99.00 999.0  9.50   3.30     2 99.00 99.00
2008 11 09 03 00     1.0 99.00 999.00 99.00 999.0  9.50   3.30     2 99.00 99.00
2008 11 09 04 00     1.0 99.00 999.00 99.00 999.0  9.50   3.30     2 99.00 99.00
2008 11 09 05 00     1.0 99.00 999.00 99.00 999.0  9.60   3.50     2 99.00 99.00
2008 11 09 07 00     1.0 99.00 999.00 99.00 999.0  9.40   3.30     2 99.00 99.00
2008 11 09 08 00     1.0 99.00 999.00 99.00 999.0  9.50   3.20     2 99.00 99.00
2008 11 09 09 00     1.0 99.00 999.00 99.00 999.0  9.40   3.10     3 99.00 99.00
2008 11 10 02 00     1.0 99.00 999.00 99.00 999.0  9.40   2.90     2 99.00 99.00
2008 11 10 03 00     1.0 99.00 999.00 99.00 999.0  9.40   3.00     2 99.00 99.00
2008 11 10 04 00     1.0 99.00 999.00 99.00 999.0  9.50   3.20     2 99.00 99.00
2008 11 10 05 00     1.0 99.00 999.00 99.00 999.0  9.50   3.20     2 99.00 99.00
2008 11 10 06 00     1.0 99.00 999.00 99.00 999.0  9.60   3.20     2 99.00 99.00
2008 11 10 07 00     1.0 99.00 999.00 99.00 999.0  9.60   3.30     2 99.00 99.00
2008 11 10 08 00     1.0 99.00 999.00 99.00 999.0  9.40   2.80     2 99.00 99.00
2008 11 10 09 00     1.0 99.00 999.00 99.00 999.0  9.30   2.40     2 99.00 99.00
2008 11 10 10 00     1.0 99.00 999.00 99.00 999.0  9.20   2.30     2 99.00 99.00
2008 11 10 11 00     1.0 99.00 999.00 99.00 999.0  9.30   2.40     2 99.00 99.00
2008 11 10 12 00     1.0 99.00 999.00 99.00 999.0  9.50   2.40     2 99.00 99.00
2008 11 10 13 00     1.0 99.00 999.00 99.00 999.0  9.50   2.20     2 99.00 99.00
2008 11 10 14 00     1.0 99.00 999.00 99.00 999.0  9.40   2.60     2 99.00 99.00
2008 11 10 15 00     1.0 99.00 999.00 99.00 999.0  9.50   2.60     2 99.00 99.00
2008 11 10 16 00     1.0 99.00 999.00 99.00 999.0  9.30   2.00     2 99.00 99.00
2008 11 10 17 00     1.0 99.00 999.00 99.00 999.0  9.30   2.30     2 99.00 99.00
2008 11 10 19 00     1.0 99.00 999.00 99.00 999.0  9.40   2.30     2 99.00 99.00
2008 11 10 20 00     1.0 99.00 999.00 99.00 999.0  9.40   2.30     2 99.00 99.00
2008 11 10 21 00     1.0 99.00 999.00 99.00 999.0  9.40   2.10     2 99.00 99.00
2008 11 10 22 00     1.0 99.00 999.00 99.00 999.0  9.40   2.30     2 99.00 99.00
2008 11 10 23 00     1.0 99.00 999.00 99.00 999.0  9.40   2.20     2 99.00 99.00
2008 11 11 00 00     1.0 99.00 999.00 99.00 999.0  9.40   2.10     2 99.00 99.00
2008 11 11 01 00     1.0 99.00 999.00 99.00 999.0  9.30   2.50     2 99.00 99.00
2008 11 11 02 00     1.0 99.00 999.00 99.00 999.0  9.40   2.60     2 99.00 99.00
2008 11 11 03 00     1.0 99.00 999.00 99.00 999.0  9.40   2.10     2 99.00 99.00
2008 11 11 04 00     1.0 99.00 999.00 99.00 999.0  9.50   2.00     2 99.00 99.00
2008 11 11 05 00     1.0 99.00 999.00 99.00 999.0  9.50   1.80     2 99.00 99.00
2008 11 11 06 00     1.0 99.00 999.00 99.00 999.0  9.60   1.70     2 99.00 99.00
2008 11 11 07 00     1.0 99.00 999.00 99.00 999.0  9.50   1.70     2 99.00 99.00
2008 11 11 08 00     1.0 99.00 999.00 99.00 999.0  9.40   1.80     2 99.00 99.00
2008 11 11 09 00     1.0 99.00 999.00 99.00 999.0  9.40   1.70     2 99.00 99.00
2008 11 11 10 00     1.0 99.00 999.00 99.00 999.0  9.40   1.60     2 99.00 99.00
2008 11 11 11 00     1.0 99.00 999.00 99.00 999.0  9.40   1.60     2 99.00 99.00
2008 11 11 12 00     1.0 99.00 999.00 99.00 999.0  9.40   1.60     3 99.00 99.00
2008 11 11 13 00     1.0 99.00 999.00 99.00 999.0  9.50   1.40     2 99.00 99.00
2008 11 11 14 00     1.0 99.00 999.00 99.00 999.0  9.50   1.50     2 99.00 99.00
2008 11 11 15 00     1.0 99.00 999.00 99.00 999.0  9.40   1.60     2 99.00 99.00
2008 11 11 16 00     1.0 99.00 999.00 99.00 999.0  9.30   1.60     2 99.00 99.00
