YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 03 22 06 30 359  0.8  1.1 99.00 99.00 99.00 999 1015.6   3.2 999.0 999.0 99.0 99.00
2014 03 22 06 40   4  1.2  1.5 99.00 99.00 99.00 999 1015.4   3.2 999.0 999.0 99.0 99.00
2014 03 22 06 50   6  1.4  1.7 99.00 99.00 99.00 999 1015.1   3.2 999.0 999.0 99.0 99.00
2014 03 22 07 00 359  1.6  1.8 99.00 99.00 99.00 999 1015.0   3.2   5.7 999.0 99.0 99.00
2014 03 22 07 10 356  1.9  2.2 99.00 99.00 99.00 999 1014.9   3.3 999.0 999.0 99.0 99.00
2014 03 22 07 20 355  2.3  2.7 99.00 99.00 99.00 999 1014.7   3.4 999.0 999.0 99.0 99.00
2014 03 22 07 30 355  1.9  2.2 99.00 99.00 99.00 999 1014.5   3.3 999.0 999.0 99.0 99.00
2014 03 22 07 40 351  2.1  2.3 99.00 99.00 99.00 999 1014.3   3.5 999.0 999.0 99.0 99.00
2014 03 22 07 50 355  2.1  2.6 99.00 99.00 99.00 999 1014.1   3.6 999.0 999.0 99.0 99.00
2014 03 22 08 00 353  1.9  2.2 99.00 99.00 99.00 999 1014.0   3.6   5.7 999.0 99.0 99.00
2014 03 22 08 10 357  1.9  2.2 99.00 99.00 99.00 999 1013.8   3.7 999.0 999.0 99.0 99.00
2014 03 22 08 20   2  2.0  2.3 99.00 99.00 99.00 999 1013.5   3.9 999.0 999.0 99.0 99.00
2014 03 22 08 30   6  1.7  2.1 99.00 99.00 99.00 999 1013.1   4.2 999.0 999.0 99.0 99.00
2014 03 22 08 40  25  1.2  1.6 99.00 99.00 99.00 999 1012.9   4.4 999.0 999.0 99.0 99.00
2014 03 22 08 50  69  1.4  2.0 99.00 99.00 99.00 999 1012.8   4.8 999.0 999.0 99.0 99.00
2014 03 22 09 00  70  1.8  2.6 99.00 99.00 99.00 999 1012.7   5.1   5.7 999.0 99.0 99.00
2014 03 22 09 10  74  1.7  2.3 99.00 99.00 99.00 999 1012.5   5.0 999.0 999.0 99.0 99.00
2014 03 22 09 20  84  1.9  2.4 99.00 99.00 99.00 999 1012.4   5.1 999.0 999.0 99.0 99.00
2014 03 22 09 30  87  2.2  2.8 99.00 99.00 99.00 999 1012.2   5.1 999.0 999.0 99.0 99.00
2014 03 22 09 40  88  1.8  2.8 99.00 99.00 99.00 999 1012.0   5.0 999.0 999.0 99.0 99.00
2014 03 22 09 50  92  1.8  2.7 99.00 99.00 99.00 999 1011.8   5.0 999.0 999.0 99.0 99.00
2014 03 22 10 00  90  1.7  2.4 99.00 99.00 99.00 999 1011.7   5.0   5.6 999.0 99.0 99.00
2014 03 22 10 10  87  1.7  2.4 99.00 99.00 99.00 999 1011.6   5.0 999.0 999.0 99.0 99.00
2014 03 22 10 20  82  1.5  2.2 99.00 99.00 99.00 999 1011.6   5.1 999.0 999.0 99.0 99.00
2014 03 22 10 30  85  1.2  1.5 99.00 99.00 99.00 999 1011.4   5.1 999.0 999.0 99.0 99.00
2014 03 22 10 40  69  1.0  1.5 99.00 99.00 99.00 999 1011.4   5.1 999.0 999.0 99.0 99.00
2014 03 22 10 50  11  0.6  0.9 99.00 99.00 99.00 999 1011.4   5.1 999.0 999.0 99.0 99.00
2014 03 22 11 00  33  0.5  0.9 99.00 99.00 99.00 999 1011.3   5.1   5.4 999.0 99.0 99.00
2014 03 22 11 10   2  0.9  1.3 99.00 99.00 99.00 999 1011.4   4.8 999.0 999.0 99.0 99.00
2014 03 22 11 20 348  0.6  1.3 99.00 99.00 99.00 999 1011.4   4.7 999.0 999.0 99.0 99.00
2014 03 22 11 30   4  0.8  1.0 99.00 99.00 99.00 999 1011.4   4.6 999.0 999.0 99.0 99.00
2014 03 22 11 40 343  0.4  1.0 99.00 99.00 99.00 999 1011.4   4.6 999.0 999.0 99.0 99.00
2014 03 22 11 50 166  0.6  1.0 99.00 99.00 99.00 999 1011.2   4.8 999.0 999.0 99.0 99.00
2014 03 22 12 00 160  1.2  1.6 99.00 99.00 99.00 999 1011.1   4.9   5.5 999.0 99.0 99.00
2014 03 22 12 10 168  1.7  2.5 99.00 99.00 99.00 999 1011.0   5.1 999.0 999.0 99.0 99.00
2014 03 22 12 20 187  1.6  2.2 99.00 99.00 99.00 999 1011.0   5.5 999.0 999.0 99.0 99.00
2014 03 22 12 30 188  1.5  1.8 99.00 99.00 99.00 999 1011.0   5.4 999.0 999.0 99.0 99.00
2014 03 22 12 40 187  1.4  1.8 99.00 99.00 99.00 999 1010.8   5.5 999.0 999.0 99.0 99.00
2014 03 22 12 50 185  1.5  2.0 99.00 99.00 99.00 999 1010.8   5.5 999.0 999.0 99.0 99.00
2014 03 22 13 00 189  1.8  2.1 99.00 99.00 99.00 999 1010.8   5.6   5.8 999.0 99.0 99.00
